stock price ,rate of return on total assets_ROA_A,net assets income rateA,operating profit ratio,Sales Margin rate,turnover of account receivableA,rate of stock turnoverA,velocity of liquid assetsA,turnover of total capitalA, liquidity ratio,quick ratio,asset-liability ratio,equity multiplier,Total Assets Growth RateA,net profit growth rateA,increase rate of business revenue,sustainable growth rate
10.64,0.084084,0.088846,0.378093,0.388885,1.041286,1.151228,0.304053,0.216218,13.289458,12.408468,0.053594,1.056629,0.005752,-0.318922,-0.305803,0.06574
18.1,-0.012272,-0.016281,-0.051853,-0.046814,1.634774,0.992515,0.375479,0.262148,3.190477,2.532844,0.246232,1.326668,0.075447,-1.943329,0.231929,-0.01602
38.14,0.046288,0.111747,0.100247,0.098415,2.484872,11.380535,1.13176,0.470337,0.832341,0.773845,0.585779,2.414168,0.730461,-0.024665,0.623816,0.110694
18.8,0.064861,0.094207,0.158491,0.139383,1.673965,2.748747,0.509005,0.465346,3.015463,2.627307,0.311499,1.452431,0.181644,4.453346,2.475308,0.07906
15.89,0.023257,0.043357,0.004037,0.065946,9.845557,0.980545,0.808162,0.352668,1.075585,0.339,0.463592,1.864254,0.163573,-0.912194,-0.536757,0.040688
9.32,0.042394,0.04368,0.112244,0.087849,7.977829,5.301796,1.200136,0.482578,14.97955,12.507391,0.029448,1.030342,0.055485,-0.229642,0.094082,0.031715
12.33,0.058307,0.068245,0.162674,0.164799,2.527351,3.883298,0.983881,0.353806,2.675927,2.256313,0.145618,1.170437,0.160575,0.47875,0.24029,0.035491
12.14,0.047712,0.05348,0.106115,0.096304,8.025602,2.366582,1.676378,0.49543,3.108608,1.511688,0.107851,1.120889,0.031788,-0.234427,0.003826,0.036429
7.22,0.051341,0.08327,0.164689,0.140128,2.15675,3.442435,0.821195,0.366387,1.20356,1.069045,0.383437,1.621893,0.326039,0.127693,0.400604,0.055461
3.44,0.014123,0.034971,0.026879,0.036146,6.094866,3.739364,1.227466,0.390736,0.807189,0.585848,0.596138,2.476091,-0.053854,2.660545,0.153888,0.036238
